n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time
0,             0,               0,              0,         1,           0,          0,         1,           0,          1,             0,               0,              0
1,             0,               0,              0,         1,           0,          0,         1,           0,          0,             0,               0,              0
2,             2,               0,              0,        11,           2,          2,         9,           0,          2,             1,               0,              0
3,             7,               2,              1,        21,           4,          3,        20,           0,          2,             3,               2,              1
4,            13,               4,              1,        32,           5,          2,        29,           0,          3,             6,               2,              1
5,            19,               6,              2,        46,           7,          4,        40,           0,          4,            10,               4,              1
6,            25,               8,              2,        64,           9,          4,        53,           0,          5,            15,               4,              2
7,            37,              13,              3,        78,          12,          6,        67,           0,          7,            21,               5,              2
8,            39,              13,              3,        87,          13,          6,        77,           0,         12,            28,               5,              2
9,            55,              20,              3,        90,          13,          5,        92,           0,          6,            36,               4,              2
