   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time
   0,             0,               0,              0,         1,           0,          0,         1,           0,          1,             0,               0,              0
   1,             0,               0,              0,         1,           0,          0,         1,           0,          0,             0,               0,              0
   2,             2,               0,              0,        11,           2,         13,         9,           0,          5,             1,               0,              0
   3,             7,               2,              2,        21,           4,          1,        20,           0,          5,             3,               2,             13
   4,             9,               2,              1,        30,           5,         50,        29,           0,        131,             6,               2,              1
   5,            11,               2,              1,        51,           8,          4,        39,           0,          5,            10,               2,              1
   6,            13,               2,              1,        60,           9,          1,        51,           0,          2,            15,               2,              0
   7,            15,               2,              1,        62,          10,          1,        63,           0,          1,            21,               2,              0
   8,            17,               2,              1,        67,          10,          1,        74,           0,          1,            28,               2,              0
   9,            19,               2,              1,        78,          11,          1,        85,           0,          1,            36,               2,              0
  10,            21,               2,              1,        91,          13,          1,        97,           0,          1,            45,               2,              0
  11,            23,               2,              1,       115,          16,          1,       109,           0,          1,            55,               2,              0
  12,            27,               3,              1,       130,          18,          1,       124,           0,          1,            66,               3,              1
  13,            29,               3,              1,       141,          19,          1,       136,           0,          2,            78,               3,              1
  14,            31,               3,              1,       153,          20,          1,       150,           0,          1,            91,               3,              1
  15,            33,               3,              2,       158,          21,          1,       163,           0,          2,           105,               3,              1
  16,            35,               3,              1,       174,          23,          1,       176,           0,          1,           120,               3,              1
  17,            39,               4,              1,       173,          22,          1,       189,           0,          2,           136,               4,              1
  18,            41,               4,              1,       193,          24,          3,       202,           0,          4,           153,               4,              2
  19,            43,               4,              2,       212,          26,          3,       215,           0,          4,           171,               4,              3
  20,            47,               5,              4,       218,          27,          8,       230,           0,          8,           190,               5,              4
  21,            51,               6,              3,       249,          30,          4,       244,           0,          7,           210,               6,              3
  22,            53,               6,              5,       262,          31,          9,       258,           0,         21,           231,               6,              5
  23,            55,               6,              3,       265,          31,          5,       272,           0,          5,           253,               6,              3
  24,            57,               6,              4,       285,          34,          4,       289,           0,          6,           276,               6,              3
  25,            59,               6,              3,       305,          36,          4,       302,           0,          7,           300,               6,              4
  26,            63,               7,              3,       322,          38,          3,       317,           0,          4,           325,               7,              3
  27,            67,               8,              3,       333,          38,          3,       332,           0,          7,           351,               8,              3
  28,            73,              10,              4,       343,          38,          3,       349,           0,          4,           378,               8,              3
  29,            75,              10,              3,       358,          41,          2,       363,           0,          5,           406,               8,              3
  30,            77,              10,              4,       374,          42,          3,       378,           0,          4,           435,               8,              3
  31,            81,              11,              4,       393,          44,          3,       393,           0,          6,           465,               9,              4
  32,            83,              11,              3,       416,          47,          3,       409,           0,          5,           496,               9,              4
  33,            85,              11,              3,       416,          45,          3,       422,           0,          5,           528,               9,              4
  34,            87,              11,              3,       434,          47,          3,       436,           0,          4,           561,               9,              4
  35,            91,              12,              3,       435,          48,          3,       451,           0,          7,           595,              10,             49
  36,            93,              12,              3,       443,          48,          3,       465,           0,          4,           630,              10,              6
  37,            95,              12,              4,       485,          53,          3,       479,           0,          7,           666,              10,              4
  38,            97,              12,              3,       497,          54,          3,       495,           0,          6,           703,              10,              5
  39,            99,              12,              4,       502,          53,          3,       510,           0,          5,           741,              10,              5
  40,           103,              13,              4,       526,          56,          3,       527,           0,          5,           780,              11,              5
  41,           105,              13,              4,       546,          57,         10,       541,           0,          8,           820,              11,              6
  42,           107,              13,              4,       564,          59,          4,       556,           0,          6,           861,              11,              6
  43,           109,              13,              4,       571,          59,          4,       571,           0,          5,           903,              11,              6
  44,           111,              13,              4,       579,          59,          5,       586,           0,          6,           946,              11,              6
  45,           113,              13,              4,       589,          59,          3,       601,           0,          6,           990,              11,             55
  46,           115,              13,              4,       625,          63,          4,       618,           0,          6,          1035,              11,              9
  47,           119,              14,              8,       616,          62,          7,       635,           0,         12,          1081,              12,             10
  48,           123,              15,              7,       637,          64,         10,       653,           0,         14,          1128,              13,              9
  49,           125,              15,              7,       686,          70,         12,       667,           0,         38,          1176,              13,             15
  50,           127,              15,              8,       696,          70,         11,       683,           0,         19,          1225,              13,             14
  51,           131,              16,              9,       707,          72,          9,       699,           0,         15,          1275,              14,             15
  52,           135,              17,              6,       736,          76,         10,       716,           0,         16,          1326,              15,              4
  53,           141,              19,              8,       726,          72,          9,       733,           0,         14,          1378,              15,              4
  54,           147,              21,              8,       774,          80,         11,       750,           0,         13,          1431,              17,              3
  55,           149,              21,             10,       801,          83,         10,       766,           0,         17,          1485,              17,              3
  56,           151,              21,              8,       808,          82,         10,       782,           0,         15,          1540,              17,              4
  57,           153,              21,              9,       803,          78,         10,       799,           0,         14,          1596,              17,              4
  58,           155,              21,              8,       817,          79,          9,       816,           0,         14,          1653,              17,              4
  59,           157,              21,              8,       833,          82,          9,       832,           0,         14,          1711,              17,              4
  60,           159,              21,              8,       877,          88,         11,       847,           0,         21,          1770,              17,              4
  61,           161,              21,             15,       870,          86,         10,       865,           0,         20,          1830,              17,              4
  62,           163,              21,              8,       872,          84,         10,       882,           0,         17,          1891,              17,              4
  63,           165,              21,              5,       893,          86,          6,       899,           0,         10,          1953,              17,              3
  64,           169,              22,              6,       917,          88,          5,       917,           0,          8,          2016,              18,              2
  65,           171,              22,              5,       947,          92,          5,       931,           0,          8,          2080,              18,              2
  66,           173,              22,              5,       978,          95,          5,       946,           0,          8,          2145,              18,              3
  67,           175,              22,              7,       976,          93,          6,       963,           0,          9,          2211,              18,              3
  68,           179,              23,              6,       993,          95,          6,       979,           0,          9,          2278,              19,              3
  69,           185,              25,              7,       999,          93,          6,       997,           0,         11,          2346,              19,            352
