  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time
  0,             0,               0,              0,         1,           0,          0,         1,           0,          0,             0,               0,              0
  1,             0,               0,              0,         1,           0,          0,         1,           0,          0,             0,               0,              0
  2,             2,               0,              0,        11,           2,          2,         9,           0,          1,             1,               0,              0
  3,             4,               0,              0,        13,           2,          1,        18,           0,          3,             3,               0,              0
  4,             8,               1,              1,        24,           4,          2,        29,           0,          5,             6,               1,              1
  5,            10,               1,              1,        35,           5,          2,        39,           0,          5,            10,               1,              1
  6,            18,               4,              1,        43,           6,          3,        53,           0,          5,            15,               2,              3
  7,            24,               6,              2,        61,           9,         21,        64,           0,          6,            21,               2,              3
  8,            26,               6,              2,        71,          10,          9,        77,           0,         10,            28,               2,              2
  9,            28,               6,              1,        93,          13,          5,        88,           0,         12,            36,               2,              3
 10,            32,               7,              2,       106,          15,          5,        99,           0,          6,            45,               3,              4
 11,            36,               8,              4,       116,          15,          8,       112,           0,          9,            55,               4,              4
 12,            38,               8,              4,       132,          17,         23,       127,           0,          6,            66,               4,              4
 13,            40,               8,              2,       142,          19,          7,       139,           0,          5,            78,               4,              3
 14,            42,               8,              2,       148,          19,          7,       151,           0,          6,            91,               4,              3
 15,            44,               8,              2,       160,          21,          7,       165,           0,          5,           105,               4,              4
 16,            46,               8,              2,       167,          21,          6,       180,           0,          5,           120,               4,              4
 17,            48,               8,              2,       192,          24,          7,       192,           0,          7,           136,               4,              5
 18,            50,               8,              2,       198,          24,          8,       205,           0,          9,           153,               4,              6
 19,            54,               9,              2,       214,          26,          8,       219,           0,          8,           171,               5,              6
 20,            56,               9,              2,       220,          26,         11,       231,           0,          7,           190,               5,              7
 21,            58,               9,              2,       250,          30,          9,       244,           0,          9,           210,               5,              7
 22,            60,               9,              2,       268,          32,          9,       258,           0,          8,           231,               5,              7
 23,            62,               9,              2,       266,          30,         10,       272,           0,          9,           253,               5,             10
 24,            64,               9,              2,       282,          32,         19,       289,           0,         11,           276,               5,              9
 25,            66,               9,              3,       292,          32,         10,       302,           0,         11,           300,               5,             10
 26,            68,               9,              2,       310,          35,         10,       316,           0,         11,           325,               5,             16
 27,            70,               9,              4,       323,          37,         11,       330,           0,         16,           351,               5,             32
 28,            74,              10,              5,       340,          39,         19,       345,           0,         19,           378,               6,             15
 29,            78,              11,              4,       346,          38,         13,       360,           0,         15,           406,               7,             17
 30,            80,              11,              5,       371,          41,         17,       375,           0,         19,           435,               7,             14
 31,            82,              11,              3,       373,          41,         13,       390,           0,         14,           465,               7,             16
 32,            84,              11,              3,       394,          44,         14,       407,           0,         25,           496,               7,             16
 33,            86,              11,              5,       410,          45,         18,       420,           0,         17,           528,               7,             25
 34,            88,              11,              4,       416,          45,         18,       434,           0,         15,           561,               7,             19
 35,            92,              12,              4,       444,          48,         14,       449,           0,         16,           595,               8,             28
 36,            96,              13,              5,       462,          49,         20,       466,           0,         15,           630,               9,             27
 37,           100,              14,              4,       481,          51,         15,       481,           0,         19,           666,              10,             22
