   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time
   0,             0,               0,              1,         1,           0,          1,         1,           0,          0,             0,               0,              0
   1,             0,               0,              0,         1,           0,          0,         1,           0,          0,             0,               0,              0
   2,             2,               0,              0,        11,           2,         13,         9,           0,          7,             1,               0,              0
   3,             6,               1,              4,        22,           4,          1,        19,           0,          0,             3,               1,              3
   4,             8,               1,              0,        31,           5,          4,        29,           0,          1,             6,               1,              0
   5,            16,               4,              0,        42,           7,          1,        42,           0,          1,            10,               2,              0
   6,            22,               6,              0,        53,           8,          0,        54,           0,          1,            15,               2,              0
   7,            32,              10,              0,        71,          10,          1,        68,           0,          1,            21,               4,              0
   8,            40,              13,              0,        81,          11,          1,        78,           0,          1,            28,               5,              0
   9,            52,              18,              0,       101,          14,          1,        92,           0,          1,            36,               6,              1
  10,            56,              19,              0,       116,          16,          1,       108,           0,          1,            45,               7,              0
  11,            60,              20,              0,       131,          18,          1,       120,           0,          1,            55,               8,              1
  12,            66,              22,              0,       132,          17,          1,       133,           0,          1,            66,               8,              1
  13,            68,              22,              0,       162,          21,          1,       145,           0,          3,            78,               8,              1
  14,            84,              29,              0,       199,          23,          2,       164,           0,          2,            91,               9,              1
  15,           102,              37,              1,       192,          26,          2,       179,           0,          3,           105,              11,              1
  16,           124,              47,              1,       194,          24,          2,       192,           0,          2,           120,              13,              1
  17,           156,              62,              1,       228,          27,          2,       209,           0,          2,           136,              12,              1
  18,           182,              74,              1,       260,          31,          2,       222,           0,          3,           153,              16,              2
  19,           192,              78,              1,       302,          35,          3,       238,           0,          3,           171,              16,              2
  20,           220,              91,              1,       307,          35,          3,       259,           0,          3,           190,              17,              2
  21,           256,             108,              2,       304,          33,          3,       277,           0,          3,           210,              18,              3
  22,           262,             110,              2,       317,          34,          3,       288,           0,          5,           231,              18,              2
  23,           264,             110,              2,       354,          41,          3,       301,           0,          4,           253,              18,              2
  24,           308,             131,              2,       351,          41,          3,       320,           0,          6,           276,              19,             16
