  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time
  0,             0,               0,              1,         1,           0,          0,         1,           0,          1,             0,               0,              0
  1,             0,               0,              0,         1,           0,          0,         1,           0,          1,             0,               0,              0
  2,             3,               1,              0,        10,           2,          1,        10,           0,          1,             1,               1,              0
  3,             5,               1,              0,        22,           4,          2,        19,           0,          2,             3,               1,              0
  4,             9,               2,              0,        35,           6,          2,        30,           0,         16,             6,               2,              1
  5,            11,               2,              1,        44,           7,          2,        40,           0,          3,            10,               2,              1
  6,            21,               6,              1,        55,           8,          2,        54,           0,          5,            15,               4,              1
  7,            27,               8,              1,        67,          10,          3,        66,           0,          5,            21,               4,              2
  8,            42,              15,              2,        80,          12,          4,        81,           0,          9,            28,               5,              2
  9,            54,              20,              2,       103,          14,          5,        95,           0,         13,            36,               6,              2
 10,            70,              27,              2,       118,          14,          4,       105,           0,          4,            45,               7,              2
 11,            82,              32,              7,       130,          17,          5,       120,           0,          4,            55,               8,              2
 12,            90,              35,              3,       147,          19,          5,       135,           0,          4,            66,               9,              3
 13,           112,              45,              4,       177,          23,          7,       151,           0,          5,            78,               9,              3
 14,           120,              48,              4,       186,          25,          7,       159,           0,          6,            91,              10,              4
 15,           136,              55,              4,       221,          27,          8,       175,           0,          6,           105,              11,              4
 16,           142,              57,              5,       236,          26,          8,       192,           0,          6,           120,              13,              4
 17,           168,              69,              5,       238,          32,          7,       209,           0,          8,           136,              11,              5
 18,           186,              77,              6,       242,          30,          9,       227,           0,          7,           153,              11,              7
 19,           192,              79,              6,       273,          35,         11,       238,           0,          8,           171,              11,              6
 20,           231,              98,              7,       293,          36,         10,       254,           0,          8,           190,              16,              7
 21,           269,             116,              9,       298,          37,         22,       270,           0,         11,           210,              16,              8
 22,           311,             136,              9,       322,          41,         12,       284,           0,         10,           231,              18,             12
 23,           339,             149,             16,       355,          41,         18,       304,           0,         18,           253,              21,             18
 24,           367,             162,             20,       367,          44,         19,       321,           0,         19,           276,              22,             15
 25,           399,             177,             18,       414,          48,         19,       339,           0,         18,           300,              21,             15
 26,           425,             189,             21,       439,          49,         20,       346,           0,         21,           325,              23,             20
 27,           473,             212,             24,       459,          50,         21,       368,           0,         17,           351,              24,             17
 28,           485,             217,             21,       478,          52,         37,       378,           0,         21,           378,              23,             20
 29,           499,             223,             27,       500,          62,         23,       396,           0,         20,           406,              25,             22
 30,           513,             229,             24,       517,          61,         22,       416,           0,         24,           435,              27,             21
 31,           539,             241,             18,       555,          59,         21,       431,           0,         17,           465,              27,             16
 32,           563,             252,             19,       619,          62,         17,       451,           0,         23,           496,              26,             16
 33,           589,             264,             19,       559,          68,         16,       469,           0,         17,           528,              26,             19
 34,           645,             291,             21,       606,          62,         19,       493,           0,         17,           561,              31,             19
 35,           661,             298,             21,       637,          68,         16,       504,           0,         16,           595,              32,             20
 36,           717,             325,             23,       649,          77,         17,       533,           0,         16,           630,              31,             21
 37,           775,             353,             24,       727,          77,         21,       553,           0,         21,           666,              31,             23
 38,           833,             381,             30,       692,          72,         19,       553,           0,         20,           703,              33,             25
 39,           841,             384,             28,       792,          75,         23,       570,           0,         18,           741,              34,             25
 40,           920,             423,             30,       834,          82,         24,       588,           0,         19,           780,              37,             26
 41,           976,             450,             35,       781,          80,         21,       605,           0,         52,           820,              40,             27
 42,          1020,             471,             35,       783,          85,         21,       623,           0,          9,           861,              37,             31
 43,          1080,             500,             37,       846,          89,         28,       646,           0,          7,           903,              36,             31
 44,          1092,             505,             50,       867,          93,         24,       657,           0,         11,           946,              39,             32
 45,          1120,             518,             37,       849,          94,         21,       670,           0,          7,           990,              42,             32
 46,          1164,             539,             39,       881,          97,          5,       707,           0,          7,          1035,              43,             34
 47,          1224,             568,             39,       924,          99,          6,       723,           0,          7,          1081,              44,             36
 48,          1274,             592,             43,       877,         102,          5,       736,           0,          7,          1128,              40,             43
 49,          1358,             633,             43,       921,         105,          6,       756,           0,          7,          1176,              41,             38
 50,          1436,             671,             47,       944,         106,          6,       784,           0,          8,          1225,              47,             56
 51,          1456,             680,             75,       987,         108,         13,       801,           0,         15,          1275,              48,             59
 52,          1462,             682,             66,       970,         111,         12,       802,           0,         16,          1326,              50,             65
 53,          1500,             700,             70,      1018,         103,          7,       822,           0,         12,          1378,              52,             46
 54,          1604,             751,             50,      1100,         118,          6,       846,           0,          8,          1431,              47,             43
 55,          1700,             798,             51,      1127,         114,          6,       869,           0,          8,          1485,              48,             45
 56,          1772,             833,             54,      1096,         114,          8,       882,           0,          9,          1540,              53,             66
 57,          1820,             856,             55,      1118,         115,          6,       898,           0,          9,          1596,              52,             47
 58,          1902,             896,             57,      1174,         123,         20,       919,           0,         21,          1653,              54,             49
 59,          2018,             953,             80,      1224,         132,          7,       940,           0,          8,          1711,              57,             51
 60,          2040,             963,             61,      1205,         129,          6,       959,           0,          8,          1770,              57,             52
 61,          2138,            1011,             64,      1219,         129,          6,       978,           0,          9,          1830,              55,             96
 62,          2200,            1041,             80,      1281,         131,          7,       996,           0,          9,          1891,              55,             56
 63,          2214,            1047,             68,      1270,         130,          7,      1013,           0,          8,          1953,              57,             56
 64,          2262,            1070,             70,      1312,         133,          7,      1036,           0,          9,          2016,              58,             58
