 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time
 0,             0,               0,              1,         1,           0,          0,         1,           0,          0,             0,               0,              0
 1,             0,               0,              0,         1,           0,         16,         1,           0,          0,             0,               0,              0
 2,             2,               0,              0,        11,           2,          2,         9,           0,          2,             1,               0,              0
 3,             4,               0,              0,        13,           2,          2,        18,           0,          2,             3,               0,              0
 4,             8,               1,              1,        24,           4,          2,        29,           0,          3,             6,               1,             14
 5,            17,               5,              1,        45,           7,          3,        42,           0,          5,            10,               3,              1
 6,            27,               9,              2,        61,           9,          5,        54,           0,          5,            15,               5,              2
 7,            31,              10,              3,        77,          12,          5,        66,           0,          6,            21,               6,              5
 8,            35,              11,              2,        92,          14,          8,        77,           0,         19,            28,               7,              2
 9,            41,              13,              3,       103,          13,          8,        90,           0,          6,            36,               7,              2
10,            43,              13,              2,       137,          16,          6,       105,           0,          7,            45,               7,              2
