1-3,class
Spell Scroll (cantrip),0
Potion of healing,0
Quaal's Feather Token (Anchor),0
Spell Scroll (Level 1),0
Potion of Love,0
Potion of Poison,1
Elixir of Health,0
Keoghtom's Ointment (1 dose),0
Spell Scroll (Level 2),0
(1d6) +1 Ammunition,0
Potion fo Fire Breath,0
Potion of greater healing,0
Potion of climbing,0
Potion of heroism,0
Potion of Invisibility,0
Potion of Mind Reading,0
Potion of Water Breathing,0
Scroll of Protection,0
Potion of Animal Friendship,0
Nolzur's Marvevlous Pigments,0
